Sample_Code,Household,Sample_Type,Site,GenBac,HF183,Rum2Bac,Pig2Bac,DG37,GFD,Log10_GenBac,Log10_HF183,Log10_Rum2Bac,Log10_Pig2Bac,Log10_DG37,Log10_GFD
1002CWHC,1002,Child hands (n=31),Urban,1.01E+06,1.37E+03,BDL,BDL,1.51E+02,BDL,6,3.14,BDL,BDL,2.18,BDL
1006CWHC,1006,Child hands (n=31),Urban,2.74E+06,2.90E+02,BDL,BDL,BDL,BDL,6.44,2.46,BDL,BDL,BDL,BDL
1007CWHC,1007,Child hands (n=31),Urban,5.44E+06,4.30E+03,BDL,BDL,4.10E+02,BDL,6.74,3.63,BDL,BDL,2.61,BDL
1010CWHC,1010,Child hands (n=31),Urban,6.32E+05,DNQ,BDL,BDL,BDL,BDL,5.8,DNQ,BDL,BDL,BDL,BDL
1011CWHC,1011,Child hands (n=31),Urban,2.14E+06,BDL,BDL,BDL,BDL,BDL,6.33,BDL,BDL,BDL,BDL,BDL
1012CWHC,1012,Child hands (n=31),Urban,1.88E+06,1.20E+04,BDL,BDL,BDL,BDL,6.28,4.08,BDL,BDL,BDL,BDL
1013CWHC,1013,Child hands (n=31),Urban,2.24E+06,1.13E+03,BDL,BDL,BDL,BDL,6.35,3.06,BDL,BDL,BDL,BDL
1015CWHC,1015,Child hands (n=31),Urban,9.75E+05,7.94E+03,BDL,BDL,BDL,BDL,5.99,3.9,BDL,BDL,BDL,BDL
1017CWHC,1017,Child hands (n=31),Urban,4.76E+06,1.38E+03,BDL,BDL,BDL,BDL,6.68,3.14,BDL,BDL,BDL,BDL
1019CWHC,1019,Child hands (n=31),Urban,6.22E+05,BDL,BDL,BDL,BDL,BDL,5.79,BDL,BDL,BDL,BDL,BDL
2001CWHC,2001,Child hands (n=31),Semi-rural,2.28E+05,3.54E+02,BDL,BDL,BDL,BDL,5.36,2.55,BDL,BDL,BDL,BDL
2004CWHC,2004,Child hands (n=31),Semi-rural,1.15E+05,BDL,BDL,BDL,BDL,BDL,5.06,BDL,BDL,BDL,BDL,BDL
2007CWHC,2007,Child hands (n=31),Semi-rural,2.41E+06,3.16E+02,BDL,BDL,DNQ,BDL,6.38,2.5,BDL,BDL,DNQ,BDL
2008CWHC,2008,Child hands (n=31),Semi-rural,1.75E+06,5.69E+04,BDL,BDL,BDL,BDL,6.24,4.76,BDL,BDL,BDL,BDL
2012CWHC,2012,Child hands (n=31),Semi-rural,1.58E+05,4.50E+03,BDL,BDL,BDL,BDL,5.2,3.65,BDL,BDL,BDL,BDL
2013CWHC,2013,Child hands (n=31),Semi-rural,1.18E+05,BDL,BDL,BDL,BDL,BDL,5.07,BDL,BDL,BDL,BDL,BDL
2015CWHC,2015,Child hands (n=31),Semi-rural,1.16E+06,4.11E+02,BDL,BDL,DNQ,BDL,6.07,2.61,BDL,BDL,DNQ,BDL
2016CWHC,2016,Child hands (n=31),Semi-rural,1.08E+05,BDL,BDL,BDL,BDL,BDL,5.04,BDL,BDL,BDL,BDL,BDL
2018CWHC,2018,Child hands (n=31),Semi-rural,5.49E+06,1.48E+03,BDL,BDL,BDL,BDL,6.74,3.17,BDL,BDL,BDL,BDL
3001CWHC,3001,Child hands (n=31),Rural,2.59E+06,BDL,BDL,BDL,BDL,BDL,6.41,BDL,BDL,BDL,BDL,BDL
3003CWHC,3003,Child hands (n=31),Rural,1.28E+06,7.57E+02,BDL,BDL,BDL,2.41E+02,6.11,2.88,BDL,BDL,BDL,2.38
3005CWHC,3005,Child hands (n=31),Rural,2.86E+06,BDL,BDL,BDL,BDL,BDL,6.46,BDL,BDL,BDL,BDL,BDL
3007CWHC,3007,Child hands (n=31),Rural,1.26E+05,BDL,BDL,BDL,BDL,BDL,5.1,BDL,BDL,BDL,BDL,BDL
4002CWHC,4002,Child hands (n=31),Rural,6.46E+05,BDL,BDL,BDL,BDL,BDL,5.81,BDL,BDL,BDL,BDL,BDL
5001CWHC,5001,Child hands (n=31),Rural,2.87E+05,BDL,BDL,BDL,BDL,BDL,5.46,BDL,BDL,BDL,BDL,BDL
5002CWHC,5002,Child hands (n=31),Rural,7.58E+04,BDL,BDL,BDL,BDL,BDL,4.88,BDL,BDL,BDL,BDL,BDL
7002CWHC,7002,Child hands (n=31),Rural,1.93E+05,BDL,BDL,BDL,BDL,BDL,5.29,BDL,BDL,BDL,BDL,BDL
9003CWHC,9003,Child hands (n=31),Rural,1.06E+08,BDL,BDL,BDL,BDL,DNQ,8.03,BDL,BDL,BDL,BDL,DNQ
9005CWHC,9005,Child hands (n=31),Rural,8.65E+04,BDL,BDL,BDL,BDL,BDL,4.94,BDL,BDL,BDL,BDL,BDL
9006CWHC,9006,Child hands (n=31),Rural,4.73E+04,BDL,BDL,BDL,BDL,BDL,4.68,BDL,BDL,BDL,BDL,BDL
2021CNDI,2021,Dish drying surface (n=10),Semi-rural,2.42E+05,BDL,BDL,BDL,BDL,BDL,5.38,BDL,BDL,BDL,BDL,BDL
2027CNDI,2027,Dish drying surface (n=10),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2028CNDI,2028,Dish drying surface (n=10),Semi-rural,3.72E+04,BDL,BDL,BDL,BDL,BDL,4.57,BDL,BDL,BDL,BDL,BDL
2029CNDI,2029,Dish drying surface (n=10),Semi-rural,1.46E+04,BDL,BDL,BDL,BDL,BDL,4.16,BDL,BDL,BDL,BDL,BDL
2035CNDI,2035,Dish drying surface (n=10),Semi-rural,2.37E+04,BDL,BDL,BDL,BDL,BDL,4.37,BDL,BDL,BDL,BDL,BDL
7003CNDI,7003,Dish drying surface (n=10),Rural,4.21E+03,BDL,BDL,BDL,BDL,BDL,3.63,BDL,BDL,BDL,BDL,BDL
7004CNDI,7004,Dish drying surface (n=10),Rural,4.64E+02,BDL,BDL,BDL,BDL,BDL,2.67,BDL,BDL,BDL,BDL,BDL
9001CNDI,9001,Dish drying surface (n=10),Rural,1.84E+03,BDL,BDL,BDL,BDL,BDL,3.26,BDL,BDL,BDL,BDL,BDL
9005CWDI,9005,Dish drying surface (n=10),Rural,1.17E+03,BDL,BDL,BDL,BDL,BDL,3.07,BDL,BDL,BDL,BDL,BDL
9006CWDI,9006,Dish drying surface (n=10),Rural,1.53E+03,BDL,BDL,BDL,BDL,BDL,3.19,BDL,BDL,BDL,BDL,BDL
1001CWDW,1001,Domestic water (n=48),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1002CWDW,1002,Domestic water (n=48),Urban,2.32E+03,1.34E+02,BDL,BDL,BDL,BDL,3.37,2.13,BDL,BDL,BDL,BDL
1007CWDW,1007,Domestic water (n=48),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1011CWDW,1011,Domestic water (n=48),Urban,8.24E+03,BDL,BDL,BDL,BDL,BDL,3.92,BDL,BDL,BDL,BDL,BDL
1012CWDW,1012,Domestic water (n=48),Urban,3.32E+03,BDL,BDL,BDL,BDL,BDL,3.52,BDL,BDL,BDL,BDL,BDL
1013CWDW,1013,Domestic water (n=48),Urban,8.93E+03,BDL,BDL,BDL,BDL,BDL,3.95,BDL,BDL,BDL,BDL,BDL
1015CWDW,1015,Domestic water (n=48),Urban,6.84E+01,BDL,BDL,BDL,BDL,BDL,1.84,BDL,BDL,BDL,BDL,BDL
1017CWDW,1017,Domestic water (n=48),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1020CNDW,1020,Domestic water (n=48),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1021CNDW,1021,Domestic water (n=48),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1023CNDW,1023,Domestic water (n=48),Urban,1.60E+04,BDL,BDL,BDL,BDL,BDL,4.2,BDL,BDL,BDL,BDL,BDL
2001CWDW,2001,Domestic water (n=48),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2004CWDW,2004,Domestic water (n=48),Semi-rural,2.34E+04,BDL,BDL,BDL,BDL,BDL,4.37,BDL,BDL,BDL,BDL,BDL
2007CWDW,2007,Domestic water (n=48),Semi-rural,4.07E+02,BDL,BDL,BDL,BDL,BDL,2.61,BDL,BDL,BDL,BDL,BDL
2008CWDW,2008,Domestic water (n=48),Semi-rural,6.79E+03,BDL,BDL,BDL,BDL,BDL,3.83,BDL,BDL,BDL,BDL,BDL
2012CWDW,2012,Domestic water (n=48),Semi-rural,1.69E+02,1.98E+01,BDL,BDL,BDL,BDL,2.23,1.3,BDL,BDL,BDL,BDL
2013CWDW,2013,Domestic water (n=48),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2015CWDW,2015,Domestic water (n=48),Semi-rural,1.94E+04,BDL,BDL,BDL,BDL,BDL,4.29,BDL,BDL,BDL,BDL,BDL
2016CWDW,2016,Domestic water (n=48),Semi-rural,2.48E+03,BDL,BDL,BDL,BDL,BDL,3.39,BDL,BDL,BDL,BDL,BDL
2018CWDW,2018,Domestic water (n=48),Semi-rural,6.36E+03,BDL,BDL,BDL,BDL,BDL,3.8,BDL,BDL,BDL,BDL,BDL
2021CNDW,2021,Domestic water (n=48),Semi-rural,8.51E+03,BDL,BDL,BDL,BDL,BDL,3.93,BDL,BDL,BDL,BDL,BDL
2022CNDW,2022,Domestic water (n=48),Semi-rural,7.90E+02,BDL,BDL,BDL,BDL,BDL,2.9,BDL,BDL,BDL,BDL,BDL
2023CNDW,2023,Domestic water (n=48),Semi-rural,1.36E+05,BDL,BDL,BDL,BDL,BDL,5.14,BDL,BDL,BDL,BDL,BDL
2025CNDW,2025,Domestic water (n=48),Semi-rural,7.95E+04,1.17E+02,BDL,BDL,BDL,BDL,4.9,2.07,BDL,BDL,BDL,BDL
2026CWDW,2026,Domestic water (n=48),Semi-rural,6.62E+03,BDL,BDL,BDL,BDL,BDL,3.82,BDL,BDL,BDL,BDL,BDL
2027CNDW,2027,Domestic water (n=48),Semi-rural,3.61E+03,BDL,BDL,BDL,BDL,BDL,3.56,BDL,BDL,BDL,BDL,BDL
2028CNDW,2028,Domestic water (n=48),Semi-rural,2.08E+04,BDL,BDL,BDL,BDL,BDL,4.32,BDL,BDL,BDL,BDL,BDL
2029CNDW,2029,Domestic water (n=48),Semi-rural,3.38E+01,BDL,BDL,BDL,BDL,BDL,1.53,BDL,BDL,BDL,BDL,BDL
2030CNDW,2030,Domestic water (n=48),Semi-rural,6.72E+03,BDL,BDL,BDL,BDL,BDL,3.83,BDL,BDL,BDL,BDL,BDL
2032CNDW,2032,Domestic water (n=48),Semi-rural,1.97E+03,BDL,BDL,BDL,BDL,BDL,3.29,BDL,BDL,BDL,BDL,BDL
2033CNDW,2033,Domestic water (n=48),Semi-rural,8.00E+03,BDL,BDL,BDL,BDL,BDL,3.9,BDL,BDL,BDL,BDL,BDL
2034CNDW,2034,Domestic water (n=48),Semi-rural,3.46E+02,DNQ,BDL,BDL,BDL,BDL,2.54,BDL,BDL,BDL,BDL,BDL
2035CNDW,2035,Domestic water (n=48),Semi-rural,1.08E+04,BDL,BDL,BDL,BDL,BDL,4.03,BDL,BDL,BDL,BDL,BDL
3001CWDW,3001,Domestic water (n=48),Rural,1.62E+03,BDL,BDL,BDL,BDL,BDL,3.21,BDL,BDL,BDL,BDL,BDL
3003CWDW,3003,Domestic water (n=48),Rural,5.54E+01,BDL,BDL,BDL,BDL,BDL,1.74,BDL,BDL,BDL,BDL,BDL
3005CWDW,3005,Domestic water (n=48),Rural,3.17E+03,BDL,BDL,BDL,BDL,BDL,3.5,BDL,BDL,BDL,BDL,BDL
3008CNDW,3008,Domestic water (n=48),Rural,6.17E+03,BDL,BDL,BDL,BDL,BDL,3.79,BDL,BDL,BDL,BDL,BDL
3009CNDW,3009,Domestic water (n=48),Rural,2.81E+03,BDL,BDL,BDL,BDL,BDL,3.45,BDL,BDL,BDL,BDL,BDL
3010CNDW,3010,Domestic water (n=48),Rural,2.07E+03,BDL,BDL,BDL,BDL,BDL,3.32,BDL,BDL,BDL,BDL,BDL
4002CWDW,4002,Domestic water (n=48),Rural,1.54E+04,BDL,BDL,BDL,BDL,BDL,4.19,BDL,BDL,BDL,BDL,BDL
4004CNDW,4004,Domestic water (n=48),Rural,8.53E+02,BDL,BDL,BDL,BDL,BDL,2.93,BDL,BDL,BDL,BDL,BDL
4005CNDW,4005,Domestic water (n=48),Rural,2.06E+04,2.07E+03,BDL,BDL,BDL,BDL,4.31,3.32,BDL,BDL,BDL,BDL
4006CNDW,4006,Domestic water (n=48),Rural,1.44E+04,BDL,BDL,BDL,BDL,BDL,4.16,BDL,BDL,BDL,BDL,BDL
5002CWDW,5002,Domestic water (n=48),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
7002CWDW,7002,Domestic water (n=48),Rural,4.56E+02,BDL,BDL,BDL,BDL,BDL,2.66,BDL,BDL,BDL,BDL,BDL
